LOCALITY_NAME,LATITUDE,LONGITUDE
balkum,19.22169075,72.98449242
bhandup west,19.1462636,72.9339461
santacruz east,19.07818055,72.86777517
lower parel,18.99568,72.8302756
shilphata,19.1430394,73.0467879
new panvel,18.9993761,73.1239899
kalyan west,19.240353,73.1252789
ghatkopar west,19.0897194,72.9045972
vikhroli east,19.1172592,72.9355194
dadar,19.0177342,72.8437523
dindoshi,19.1740198,72.8695219
kalwa,19.1953415,72.9967893
taloja,19.0754826,73.0921912
chembur,19.054818,72.8979713
majiwada,19.2130251,72.9784852
ambernath,19.2015607,73.2004771
vartak nagar,19.2155371,72.9627101
mira bhayandar,19.3183904,72.8991697
thane west,19.18652695,72.97492235
wadala,19.0269192,72.8759337
dombivli east,19.2111814,73.091129
jogeshwari west,19.136394,72.8373817
panvel,18.9910971,73.12058456
vangani,19.0943323,73.3008946
marol,19.1172198,72.882342
badlapur west,19.2389883,73.13671577
diva,19.1887564,73.0414169
ulwe,18.9707794,73.0215336
sector 8 airoli,19.1481414,72.994905
kalyan east,19.2278526,73.1322955
dronagiri,18.8813327,72.9647315
roadpali,19.04160165,73.09372971
karjat,18.9127655,73.3228202
worli,19.0116962,72.8180702
nerul,19.03359375,73.01816401
ghatkopar east,19.0834898,72.9120255
manpada,19.2314156,72.9738156
parel,19.0084268,72.842505
mahim west,19.0317058,72.8408104
matunga east,19.0261579,72.8520846
jvlr,19.12108294,72.89916324
oshiwara,19.1502437,72.8342294
kamothe,19.0164338,73.0806552
ghansoli,19.11637965,73.00699279
versova,19.13025205,72.8213775
khadakpada,19.2525044,73.1373763
titwala,19.2948464,73.2051012
kandivali east,19.2103809,72.8640837
andheri east,19.1158835,72.854202
mahajan wadi,19.17208695,72.9547352
sector 19 ulwe,18.9707794,73.0215336
sv patel nagar,19.07778413,72.8335628
malad west,19.1852851,72.8358611
vasai,19.3428238,72.805441
neral,19.0274308,73.3184369
kalher,19.2470586,73.0162096
goregaon west,19.1633281,72.8411995
thakur village,19.2097189,72.8759248
louis wadi,19.1962955,72.9623222
sector 2 ulwe,18.9707794,73.0215336
kalamboli,19.0344708,73.1149672
kandivali west,19.2084439,72.8420309
pokhran 2,19.21439975,72.95960779
bandra kurla complex,19.067115,72.8657245
midc industrial area,16.85006775,74.63945746
sector 30a vashi,19.0643025,72.9999608
vasant vihar,19.2224897,72.9663424
sainath nagar,19.0941778,72.9108738
andheri west,19.1172495,72.833968
mulund east,19.1704719,72.9610447
mulund west,19.1719717,72.9511956
malabar hill,18.9581616,72.8033665
borivali west,19.2313925,72.8408607
chembur east,19.07505461,72.85637752
goregaon east,19.1692623,72.8552548
santacruz west,19.0844004,72.8372899
sahar road,19.11124382,72.85314175
vijay nagari,19.2548072,72.97469706
raheja vihar,19.11916625,72.89512336
vardhman nagar,19.1795251,72.94887962
asha nagar,19.21171635,72.86469911
airoli,19.1585147,72.99940185
shivaji nagar,18.532172,73.8496602
kurla west,19.0686026,72.876583
sector 34a kharghar,19.0525298,73.0735111
shastri nagar,17.8879571,76.4844453
lbs marg,19.08426895,72.88407956
kharghar,19.025773,73.05918453
colaba,18.915091,72.8259691
wadala east,19.0210175,72.85689554
mindspace,19.18478475,72.83413496
virar west,19.4533576,72.8057966
vasai east,19.4036749,72.82579056
jagdusha nagar,19.0949344,72.9088515
vasai west,19.4424434,72.8094667
santacruz,19.0792887,72.8471185
vashi,19.0632481,72.99879656
juhu,19.1070215,72.8275275
nahur,19.1543618,72.9464735
chinchpokli east,18.98675573,72.8391943
powai,19.1187195,72.9073476
sector 30 kharghar,19.0525298,73.0735111
borivali east,19.2267228,72.8619328
kulgaon,19.1650196,73.237532
bolinj,19.4445163,72.7942676
mhada colony,20.2511706,75.7665521
rcf colony chembur,19.04153105,72.9019065
deonar,19.0475502,72.9051895
kolshet road,19.22885968,72.98311885
jogeshwari east,19.1429737,72.855068
pushpak nagar,19.9765767,73.8310236
jk gram,19.0514449,73.06531216
chandivali,19.1091482,72.8945793
anand nagar,20.9252581,77.740353
koperkhairane,19.09720145,72.99814975
sector 23 taloja,19.0754826,73.0921912
sector 34c kharghar,19.0525298,73.0735111
sector 8 ulwe,18.9707794,73.0215336
sector 11 koparkhairane,19.10580467,72.99873983
thakurli,19.2255622,73.0968165
bandra west,19.0583358,72.8302669
mahavir nagar,19.2133846,72.84197344
dahisar west,19.16280243,72.83487909
manisha nagar,19.1969825,72.9917693
pokharan road,19.23653596,72.9699809
sector 25 nerul,19.0370749,73.0124752
ranwar,19.0537259,72.8275798
kandarpada,19.2566337,72.850504
virar east,19.4579689,72.8142138
sector 44 seawoods,19.0147714,73.0135972
sector 5 ulwe,18.9707794,73.0215336
dadar west,19.0238887,72.8382236
sector 17 ulwe,18.9707794,73.0215336
sindhu nagar,18.9971479,72.8463921
brahmand,19.2469649,72.9818412
sector 2 charkop,19.21299625,72.8222443
dombivli west,19.2221822,73.0809274
naigaon east,19.0137554,72.84629429
adivali,19.2975649,73.2622325
shanti park,19.4164585,72.82125837
lokmanya nagar,21.1108046,79.001754
new prabhadevi road,19.01057552,72.82871159
adharwadi,20.4844919,75.4606676
tagore nagar,19.1196145,72.9343142
sector 50 seawoods,19.00977915,73.01707049
hiranandani estate,19.2570093,72.9839263
ghodbunder road,19.21594668,72.97815577
ulhasnagar,19.2236329,73.1671515
mira road,19.2816975,72.8560676
shivaji park,19.02727875,72.83839775
sector 9 kopar khairane,19.1056227,72.9988648
kurla east,19.0628944,72.8825604
dahisar east,19.2486925,72.8640593
prabhadevi,19.0074717,72.8358965
pandurang wadi,19.17201314,72.85104891
sector 29 vashi,19.0895371,73.005083
gavanpada,19.1720445,72.96625185
sector 3 airoli,19.1582719,72.9967088
kanjurmarg east,19.1296868,72.9283701
kanjurmarg west,19.1281626,72.9260991
mumbai central,18.9695855,72.8193152
badlapur east,19.15326635,73.24120848
khoni,19.3153959,73.0557553
seawoods,19.02136825,73.01893898
sector 14 koparkhairane,19.10580467,72.99873983
sion east,19.0428153,72.8653563
mira road east,19.2948873,72.8678432
ghatla,19.0517387,72.9103117
kasheli,19.2362651,73.0147061
bhiwandi,19.3025562,73.0588072
sector 16 ulwe,18.9707794,73.0215336
shakti nagar,19.1427366,72.83343092
matunga,19.0274356,72.8501467
hiranandani gardens powai,19.1183882,72.911464
mahalaxmi,18.9825203,72.8242196
sector 11 kamothe,19.0173837,73.0954838
sanpada,19.06597735,73.0095329
shri ram nagar,21.1038625,79.1143726
4 bunglows,19.04485238,72.91015692
bhivpuri,18.9369773,73.4338403
kamatghar,19.2791446,73.0515718
vaishali nagar,19.185558,72.9470569
turbhe,19.0761648,73.01766154
sector 19 kharghar,19.0525298,73.0735111
shivai nagar,19.2168021,72.9564294
sindhi society chembur,19.0514063,72.88885158
sector 26 vashi,19.075784,72.9952364
malad east,19.1860219,72.8563181
vile parle east,19.0962884,72.8483799
asangaon,19.4399615,73.3081462
belapur,19.6197639,74.6599008
vidyavihar,19.0796294,72.89749147
chunabhatti,19.0517703,72.8690974
devipada,19.2252681,72.8651415
sewri,18.9987796,72.8544218
khar west,19.0682411,72.8400412
sambhaji nagar,19.877263,75.3390241
kala nagar,19.0546701,72.8485093
vasind,19.4065089,73.2674683
jijamata nagar,19.09396185,72.89462495
sector 8 sanpada,19.0607337,73.0116775
sector 4 kopar khairane,19.1056227,72.9988648
chembur west,19.07156118,72.88538933
sector 12 kharghar,19.0446047,73.0645399
amboli,20.2882731,79.6312988
mahakali caves,19.1306093,72.87381645
dn nagar,19.1278285,72.8308602
sector 11 kharghar,19.0525298,73.0735111
breach candy,18.9714363,72.8051492
sector 15 belapur,19.0257331,73.0420988
naupada,19.1896853,72.9696845
kavesar,19.2623339,72.9722476
teen hath naka,19.1883779,72.9635894
jui nagar,19.0559456,73.01824949
waghbil,19.2659668,72.9847705
bandra east,19.0616565,72.8498111
sector 19 kamothe,19.0173837,73.0954838
jawahar nagar,21.1192357,79.105937
dhokali,19.2255786,72.9845436
vile parle west,19.103908,72.840301
chakala,19.1152873,72.8618085
nalasopara west,19.41744235,72.81759746
sector 10 kharghar,19.0525298,73.0735111
kalina,19.079273,72.8612672
kalyan,19.2396742,73.1366482
sector 14 vashi,19.075784,72.9952364
tata colony,18.9328673,73.4867763
vaithara nagar,19.1661238,72.9488873
kasaravadi,18.6080927,73.8208678
balkum pada,19.215719,72.9912702
jvpd scheme,19.1111705,72.8304076
sector 5 kamothe,19.0173837,73.0954838
sector 16 kalamboli,19.0392786,73.0992311
taloja panchanand,19.079148,73.0878581
takshashila nagar,19.07167355,72.82870294
lokhandwala andheri west,19.13187099,72.82563577
ic colony,19.2476667,72.8479863
sector 10 kopar khairane,19.1056227,72.9988648
sector 15 kopar khairane,19.1056227,72.9988648
sector 23 ulwe,18.9707794,73.0215336
sector 21 kamothe,19.0173837,73.0954838
sector 13 kharghar,19.0525298,73.0735111
walkeshwar,18.9524203,72.8038935
adarsh nagar,19.0622146,72.8289581
kannamwar nagar 1,19.120555,72.93856926
kashimira,19.2755399,72.8841851
sai wadi,18.9545905,72.8208444
parsik nagar ,19.2082421,73.010126
lokhandwala kandivali east,19.19888812,72.87288428
sector 22 kamothe,19.0173837,73.0954838
sagaon,19.190974,73.093028
pant nagar,19.0833305,72.9115042
model town,19.1331581,72.8690001
byculla,18.9766219,72.8327936
patlipada,19.2493501,72.9760694
sector 35g kharghar,19.0525298,73.0735111
sector 34b kharghar,19.0525298,73.0735111
byculla east,18.9736935,72.8367795
vrindavan,19.1806843,72.96766654
pali hill,19.0649126,72.8270326
tilak nagar,19.0692377,72.8978464
byculla west,18.9750879,72.8282502
sector 7 kharghar,19.0331695,73.0658742
badlapur,19.1666237,73.2389064
sector 10 new panvel,18.9993761,73.1239899
laxmi nagar,19.0908037,72.9167981
sakinaka,19.09885801,72.88095518
savarkar road,19.2204821,73.0913261
dattanagar,17.0806407,74.8134828
sector 9 ulwe,18.9707794,73.0215336
band stand,19.04562925,72.82098432
tembhi naka,19.197023,72.9772156
sector 6 nerul,19.0370749,73.0124752
charkop,19.2141193,72.8258652
sector 15 kharghar,19.038895,73.08039297
nallasopara,19.4188363,72.8256898
gamdevi,18.9584855,72.8122522
bhayander west,19.300674,72.8498149
sector 6 kharghar,19.0525298,73.0735111
indralok phase 3,19.30140477,72.86488947
sector 14 nerul,19.0370909,73.0233188
napean sea road,18.95608665,72.79918967
sector 44a seawoods,19.012699,73.01160014
khanda colony,19.0060098,73.1075094
sector 17 kamothe,19.0173837,73.0954838
sector 18 kopar khairane,19.1028516,73.0030748
sector 15 ghansoli,19.1229321,72.99130752
sector 3 ulwe,18.9707794,73.0215336
sector 30 belapur,19.0257331,73.0420988
sion west,19.0474971,72.8638738
tardeo,18.9722687,72.8204976
vinay nagar,19.98070035,73.79121037
rabodi,19.2043191,72.98348762
pushpa park,19.1872999,72.8584547
altamount road,18.96624119,72.80906978
sector 29 nerul,19.0370749,73.0124752
"kharghar,sector 23",19.0525298,73.0735111
sector 25 ulwe,18.9707794,73.0215336
churchgate,18.9354797,72.8271741
sector 20 kharghar,19.0477591,73.07037624
sector 17 roadpali,19.04160165,73.09372971
khopat,19.2034255,72.9718687
akurli,19.1981585,72.8604905
taloja phase 1,19.0754826,73.0921912
four bungalows,19.1287942,72.8255543
nerul east,19.0370909,73.0233188
kolshet,19.2389025,72.9932692
peddar road,18.97537997,72.80907318
cumbala hill,18.9634974,72.8087763
sector-46a seawoods,19.012699,73.01160014
worli seaface,19.0108243,72.8173474
sector 21 ulwe,18.9707794,73.0215336
sector 16 kharghar,19.0525298,73.0735111
owe village,19.0718878,73.0757928
magathane,19.2167968,72.8668012
devdaya nagar ,19.2149044,72.9583943
caesar road,19.20382475,73.12026541
sector 19 airoli,19.1593193,72.9906831
malvani,19.1982684,72.8093427
juhu circle,19.1155173,72.8300035
avdhut nagar,19.2592685,72.8620869
dadar east,19.0162531,72.8522274
siddharth nagar,18.5654242,73.81363048
sector 8 charkop,19.216097,72.8147689
wagle estate,19.1985175,72.9509778
sector 35d kharghar,19.0525298,73.0735111
dombivli,19.2148599,73.0910271
katrap,19.1685323,73.2272798
sector 17 kalamboli,19.0358309,73.1034796
veera desai road,19.13616726,72.83756396
aarey milk colony,19.1561292,72.8707223
sector 8 ghansoli,19.12024585,72.99595293
pali hill bandra west,19.0649126,72.8270326
moti nagar,19.30513204,72.84854711
nehru nagar,19.0010485,72.8194265
sher e punjab colony,19.1276887,72.8627819
sector 4 kalamboli,19.0358309,73.1034796
old panvel,18.98623709,73.10964265
sector 23 kharghar,19.0525298,73.0735111
sector 7 kamothe,19.0173837,73.0954838
sunder nagar,19.1732766,72.8407686
sector 9 sanpada,19.0607337,73.0116775
pirojshanagar,19.1016734,72.9236504
bhayander east,19.3053025,72.8557264
kannamwar nagar 2,19.1168383,72.9401198
hariyali,19.1136865,72.929775
sector 11 sanpada,19.0607337,73.0116775
hari om nagar,16.68528935,74.20214579
sector 38 seawoods,19.0191159,73.01343754
willingdon,19.0782328,72.839313
nalasopara east,19.41744235,72.81759746
kutak bandhan,19.07134945,73.07852515
virar,19.4497996,72.8120613
sector 17 kopar khairane,19.1056227,72.9988648
sector 11 ghansoli,19.1190978,72.99261249
sector 7 kopar khairane,19.1056227,72.9988648
sector 4 kharghar,19.0525298,73.0735111
subhash nagar,21.1233162,79.0420532
prem nagar,19.0591872,72.8708902
sector 21 ghansoli,19.1295931,72.99682636
hanuman nagar,19.8645643,75.3619266
navi mumbai nerul east,19.0263069,73.01062538
gulmohar colony,18.587773,73.7813709
sector 15 kamothe,19.0173837,73.0954838
matunga west,19.0317259,72.8433917
vikhroli west,19.114541,72.9257184
hiranandani meadows,19.2274375,72.97185296
sector 29c airoli,19.162134,72.9963398
jankalyan nagar,19.1068579,72.8671624
sector 21 kharghar,19.0525298,73.0735111
sector 20 sanpada,19.0595341,73.00438537
sector 20 nerul,19.03160615,73.0142513
