LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
4 bunglows,42400000.0,33314.740000000005,1282.0,19.04485238,72.91015692,17.562658943787092
aarey milk colony,16500000.0,9166.67,1800.0,19.1561292,72.8707223,16.61887099947687
adaigaon,4150000.0,5731.48,737.5,19.0086,73.1282,15.238619133170708
adarsh nagar,33000000.0,22758.62,1450.0,19.0622146,72.8289581,17.312018149733785
adharwadi,9000000.0,9523.81,945.0,20.4844919,75.4606676,16.012735246411598
adivali,5074500.0,11819.625,429.5,19.2975649,73.2622325,15.43973875293474
airoli,15614285.714285715,20838.766428571427,780.5,19.1585147,72.99940185,16.563696868135366
akurli,4236000.0,11356.57,373.0,19.1981585,72.8604905,15.259130221775171
altamount road,420000000.0,116666.67,3600.0,18.96624119,72.80906978,19.85576527162264
ambedkar nagar,23000000.0,21863.12,1052.0,19.0015921,72.8442272,16.951004817371683
ambernath,3681608.695652174,7576.538260869565,503.2608695652174,19.2015607,73.2004771,15.118860631802843
ambernath east,3533625.0,5941.7125,1288.625,19.2075,73.1853,15.077835097172635
ambernath west,5342857.142857143,5911.998571428571,940.4285714285714,19.2098,73.1862,15.491271300495205
amboli,55414285.71428572,29671.25285714286,1924.7142857142858,20.2882731,79.6312988,17.830348001400772
anand nagar,7223470.588235294,12290.444705882353,623.8823529411765,20.9252581,77.740353,15.792846224703068
andheri east,22361111.111111112,22159.83111111111,1032.111111111111,19.1158835,72.854202,16.922833941647223
andheri west,56661942.85714286,32630.30514285714,1847.2285714285715,19.1172495,72.833968,17.852613359175667
anjurdive,9425000.0,11904.865,782.0,19.2298,73.0349,16.05887639739914
asangaon,2500000.0,4545.45,550.0,19.4399615,73.3081462,14.731801689838349
asha nagar,48950000.0,28992.126666666667,1618.6666666666667,19.21171635,72.86469911,17.706309947369803
avdhut nagar,6500000.0,20000.0,325.0,19.2592685,72.8620869,15.687312888712007
babrekar nagar,28900000.0,15621.62,1850.0,19.17763155,72.81034983,17.179352187684735
badlapur,3429181.8181818184,5734.215454545455,654.1818181818181,19.1666237,73.2389064,15.04783254532913
badlapur east,3141857.1428571427,4413.335714285714,775.2857142857143,19.15326635,73.24120848,14.96032494810156
badlapur west,2639181.8181818184,5265.098181818182,569.0,19.2389883,73.13671577,14.785979888638055
balkum,15752380.952380951,18772.916666666668,838.0952380952381,19.22169075,72.98449242,16.572502146872854
balkum pada,19900000.0,16994.02,1171.0,19.215719,72.9912702,16.806230339945976
band stand,250000000.0,86206.9,2900.0,19.04562925,72.82098432,19.33697147982652
